"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5627","Раскрытие описания","firefox","Thu Dec 19 15:28:04 GMT 2024","passed","Thu Dec 19 15:28:10 GMT 2024","","academy.spec.js","",""
"","4295","Отправка коммента","webkit","Thu Dec 19 15:29:20 GMT 2024","passed","Thu Dec 19 15:29:24 GMT 2024","","academy.spec.js","",""
"","4574","Смена валюты","firefox","Thu Dec 19 15:27:55 GMT 2024","passed","Thu Dec 19 15:28:00 GMT 2024","","academy.spec.js","",""
"","4524","Смена валюты","webkit","Thu Dec 19 15:29:15 GMT 2024","passed","Thu Dec 19 15:29:20 GMT 2024","","academy.spec.js","",""
"","2913","Отправка коммента","chromium","Thu Dec 19 15:26:48 GMT 2024","passed","Thu Dec 19 15:26:51 GMT 2024","","academy.spec.js","",""
"","3014","Смена валюты","chromium","Thu Dec 19 15:26:45 GMT 2024","passed","Thu Dec 19 15:26:48 GMT 2024","","academy.spec.js","",""
"","4868","Раскрытие описания","chromium","Thu Dec 19 15:26:51 GMT 2024","passed","Thu Dec 19 15:26:56 GMT 2024","","academy.spec.js","",""
"","3991","Отправка коммента","firefox","Thu Dec 19 15:28:00 GMT 2024","passed","Thu Dec 19 15:28:04 GMT 2024","","academy.spec.js","",""
"","6630","Битая картинка","chromium","Thu Dec 19 15:26:38 GMT 2024","failed","Thu Dec 19 15:26:44 GMT 2024","","academy.spec.js","",""
"","6066","Раскрытие описания","webkit","Thu Dec 19 15:29:24 GMT 2024","passed","Thu Dec 19 15:29:30 GMT 2024","","academy.spec.js","",""
"","7873","Битая картинка","firefox","Thu Dec 19 15:27:46 GMT 2024","failed","Thu Dec 19 15:27:54 GMT 2024","","academy.spec.js","",""
"","3962","Увеличение количества выдаваемых товаров","chromium","Thu Dec 19 15:26:16 GMT 2024","passed","Thu Dec 19 15:26:20 GMT 2024","","academy.spec.js","",""
"","9753","Фильтрация по цене","firefox","Thu Dec 19 15:28:34 GMT 2024","failed","Thu Dec 19 15:28:43 GMT 2024","","academy.spec.js","",""
"","8494","Фильтрация по цене","chromium","Thu Dec 19 15:27:15 GMT 2024","failed","Thu Dec 19 15:27:24 GMT 2024","","academy.spec.js","",""
"","5175","Увеличение количества выдаваемых товаров","webkit","Thu Dec 19 15:28:45 GMT 2024","passed","Thu Dec 19 15:28:50 GMT 2024","","academy.spec.js","",""
"","3259","Увеличение количества выдаваемых товаров","firefox","Thu Dec 19 15:27:24 GMT 2024","passed","Thu Dec 19 15:27:28 GMT 2024","","academy.spec.js","",""
"","10192","Фильтрация по цене","webkit","Thu Dec 19 15:29:53 GMT 2024","failed","Thu Dec 19 15:30:03 GMT 2024","","academy.spec.js","",""
"","7636","Битая картинка","webkit","Thu Dec 19 15:29:07 GMT 2024","failed","Thu Dec 19 15:29:15 GMT 2024","","academy.spec.js","",""
